Pclass,Age,SibSp,Fare,Parch,Cabin,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Embarked_U
1.0,0.2711736617240512,0.125,0.014151057562208049,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.4722292033174164,0.125,0.13913573538264068,0.0,0.5510204081632653,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.32143754712239253,0.0,0.015468569817999833,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.4345312892686604,0.125,0.10364429745562033,0.0,0.37414965986394555,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.4345312892686604,0.0,0.015712553569072387,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.3497109826589595,0.0,0.01650950209357577,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.6732847449107816,0.0,0.10122885832000206,0.0,0.8775510204081632,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.01985423473234481,0.375,0.04113566043083236,0.16666666666666666,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.33400351847197784,0.0,0.021730754366528396,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.5,0.17064589092736868,0.125,0.058694292654020104,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.04498617743151546,0.125,0.03259622914329302,0.16666666666666666,0.9863945578231292,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.723548630309123,0.0,0.051822148727810165,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.24604171902488062,0.0,0.015712553569072387,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.4847951746670017,0.125,0.06104473451835265,0.8333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.17064589092736868,0.0,0.015330377421392339,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.5,0.685850716260367,0.0,0.03122992013728673,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.01985423473234481,0.5,0.05684821399990475,0.16666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.5,0.3497109826589595,0.0,0.025374310111545468,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.38426740387031916,0.125,0.03513366015444757,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.3497109826589595,0.0,0.014102260811993537,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.5,0.4345312892686604,0.0,0.050748620223090936,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.5,0.4219653179190751,0.0,0.025374310111545468,0.0,0.7551020408163265,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.18321186227695402,0.0,0.015671954672893913,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.34656948982156316,0.0,0.06929138530460494,0.0,0.08843537414965986,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.09525006282985675,0.375,0.04113566043083236,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.4722292033174164,0.125,0.06126431989431795,0.8333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.3497109826589595,0.0,0.014102260811993537,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.2334757476752953,0.375,0.5133418122566507,0.3333333333333333,0.42857142857142855,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.3497109826589595,0.0,0.01537917417160685,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.3497109826589595,0.0,0.015411575213749286,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.49736114601658704,0.0,0.05410739813385612,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.3497109826589595,0.125,0.2859895551532101,0.0,0.2789115646258503,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.3497109826589595,0.0,0.015126992566498259,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.5,0.8240764011058055,0.0,0.020494635090094415,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.34656948982156316,0.125,0.16038672010106003,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.5224930887157577,0.125,0.10149724044618187,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.3497109826589595,0.0,0.014110458666029575,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.2586076903744659,0.0,0.015712553569072387,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.22090977632571,0.25,0.03513366015444757,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.17064589092736868,0.125,0.021942337075458514,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.49736114601658704,0.125,0.018493968331299484,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.5,0.33400351847197784,0.125,0.04098927018018883,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.3497109826589595,0.0,0.015411575213749286,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.5,0.032420206081930136,0.125,0.08115719346076702,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2334757476752953,0.0,0.01537917417160685,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.3497109826589595,0.0,0.015712553569072387,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.3497109826589595,0.125,0.030253985132996517,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.3497109826589595,0.25,0.04231498029001666,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.22090977632571,0.125,0.034743286152731485,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.08268409148027142,0.5,0.07746484096553544,0.16666666666666666,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.2586076903744659,0.0,0.01522458606692728,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.610454888162855,0.125,0.1497654242623688,0.0,0.6870748299319728,1.0,0.0,1.0,0.0,0.0,0.0
0.5,0.35913546117114853,0.125,0.050748620223090936,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.8115104297562202,0.0,0.1209753416358076,0.16666666666666666,0.1564625850340136,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.3497109826589595,0.0,0.06929138530460494,0.0,0.48299319727891155,0.0,1.0,0.0,0.0,1.0,0.0
0.5,0.2586076903744659,0.0,0.020494635090094415,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.35285247549635584,0.0,0.014110458666029575,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.5,0.05755214878110078,0.125,0.05416439273810667,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.1329479768786127,0.625,0.09154270340242172,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.2711736617240512,0.0,0.014110458666029575,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.4722292033174164,0.0,0.15614960068643363,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5601910027645137,0.125,0.16293234896625058,0.0,0.5442176870748299,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.04498617743151546,0.375,0.05445717323939373,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.3497109826589595,0.0,0.05410739813385612,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.3497109826589595,0.125,0.029757819776815374,0.16666666666666666,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.5,0.35913546117114853,0.0,0.020494635090094415,0.0,0.9659863945578231,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.2334757476752953,0.0,0.015923941091001644,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.20834380497612465,0.5,0.015468569817999833,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.32143754712239253,0.25,0.016908073949327893,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.5,0.39683337521990447,0.0,0.020494635090094415,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.19577783362653933,0.625,0.09154270340242172,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.5,0.2586076903744659,0.0,0.1434624456306609,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.32143754712239253,0.125,0.028212719478023115,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.39683337521990447,0.0,0.11027245763075773,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.3088715757728072,0.0,0.014931805565640218,0.0,0.9523809523809523,0.0,1.0,0.0,0.0,1.0,0.0
0.5,0.005152048253329982,0.0,0.056604230248832196,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.37170143252073384,0.0,0.024349578357040744,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.2711736617240512,0.0,0.017566830077223785,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
